"<android.app.Activity: void setContentView(int)>","2130903077"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","java.lang.String>>>>>>>>>>>>>","1977"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","java.lang.String>>>>>>>>>>>>>","1080"
"<android.view.View: void setKeepScreenOn(boolean)>","1"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","gameThread starting"
"<android.view.View: void setVisibility(int)>","8"
"<android.view.View: void setVisibility(int)>","8"
"<android.view.View: void setVisibility(int)>","8"
"<android.view.View: void setVisibility(int)>","8"
"<android.view.View: void setVisibility(int)>","8"
"<android.view.View: void setVisibility(int)>","8"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","**************************surfaceCreated"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","**************************surface Changed"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","java.lang.String>>>>>>>>>>>>>","1977"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","java.lang.String>>>>>>>>>>>>>","1080"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","setSurfaceSize"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","com.Company1.ProductCxq.SniperView$GameThread>>>>>>>>>>>>>","has lock of mSurfaceHolder   false"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","com.Company1.ProductCxq.SniperView$GameThread>>>>>>>>>>>>>","has lock of mSurfaceHolder   true"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","com.Company1.ProductCxq.SniperView$GameThread>>>>>>>>>>>>>","draw loading"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","com.Company1.ProductCxq.SniperView>>>>>>>>>>>>>","loading start"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","Loading Texture","-------------loading texture"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","scaleX","--------------2.47125"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","scaleY","--------------2.25"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","java.lang.String>>>>>>>>>>>>>","48"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","java.lang.String>>>>>>>>>>>>>","28"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","mFontHeight-------------,","48"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","API_LEVEL","28"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","Mission 1"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.os.Handler: boolean sendEmptyMessage(int)>","1000"
"<android.os.Handler: boolean sendEmptyMessage(int)>","1003"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","com.Company1.ProductCxq.SniperView>>>>>>>>>>>>>","loading elapsed time: 2665"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","com.Company1.ProductCxq.SniperView>>>>>>>>>>>>>","loading end"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------1015.72876"
