"<android.app.Activity: void setContentView(int)>","2130903041"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfxw/BtnClick5.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","BtnClick5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfxw/LevelCompleted2.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","LevelCompleted2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfxw/firework.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","firework.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfxw/gemClear2-0.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfxw/gemClear2-1.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gemClear2-1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfxw/gemClear2-2.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gemClear2-2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfxw/gemClear2-3.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gemClear2-3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfxw/gemClear5.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gemClear5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfxw/gemDrop2.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gemDrop2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfxw/missionFail.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","missionFail.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfxw/theme4.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","theme4.mp3"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","apk path","/data/app/com.balloonisland.hfxw-ltnV6qZdv44tvLjakNhyOg==/base.apk"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<android.app.Activity: void setContentView(int)>","2130903041"
