"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","Cocos2dxActivity","model=AOSP on IA Emulator"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","Cocos2dxActivity","product=sdk_gphone_x86_arm"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","Cocos2dxActivity","isEmulator=true"
"<android.app.Activity: void setContentView(android.view.View)>","android.widget.FrameLayout{69dbbc8 V.E...... ......I. 0,0-0,0}"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-3h23m22s15ms barrier=0 }"
"<android.widget.ImageView: void setImageDrawable(android.graphics.drawable.Drawable)>","android.graphics.drawable.BitmapDrawable@c0be5e3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/boom.ogg = 2130903053"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 14"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/boom.ogg = 2130903053"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/crowd_boo.ogg = 2130903057"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 18"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/crowd_boo.ogg = 2130903057"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/crowd_clapping.ogg = 2130903058"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/crowd_human_score.ogg = 2130903060"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 21"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/crowd_human_score.ogg = 2130903060"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/crowd_roar.ogg = 2130903061"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 22"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/crowd_roar.ogg = 2130903061"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/death_female.ogg = 2130903062"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 23"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/death_female.ogg = 2130903062"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/death_male.ogg = 2130903063"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 24"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/death_male.ogg = 2130903063"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/electricity.ogg = 2130903064"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 25"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/electricity.ogg = 2130903064"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/fango_celebrate.ogg = 2130903065"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 26"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/fango_celebrate.ogg = 2130903065"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/felix_celebrate.ogg = 2130903066"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 27"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/felix_celebrate.ogg = 2130903066"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/fire.ogg = 2130903067"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 28"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/fire.ogg = 2130903067"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/firework_explode.ogg = 2130903068"
