"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { act=android.intent.action.VIEW dat=market://details?id=com.RunnerGames.game.PumpkinsVsMonster_AD flg=0x10000000 }"
"<java.io.OutputStream: void write(byte[])>","[B@4907f18"
"<android.app.Activity: void setContentView(int)>","2130903043"
"<android.view.View: void setBackgroundResource(int)>","2130837521"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","STROKE"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","STROKE"
"<android.view.View: void setClickable(boolean)>","1"
"<android.view.View: void setFocusable(boolean)>","1"
"<android.view.View: void setBackgroundResource(int)>","2130837518"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<java.text.DateFormat: void setTimeZone(java.util.TimeZone)>","java.util.SimpleTimeZone[id=GMT,offset=0,dstSavings=3600000,useDaylight=false,startYear=0,startMode=0,startMonth=0,startDay=0,startDayOfWeek=0,startTime=0,startTimeMode=0,endMode=0,endMonth=0,endDay=0,endDayOfWeek=0,endTime=0,endTimeMode=0]"
"<java.text.DateFormat: void setTimeZone(java.util.TimeZone)>","java.util.SimpleTimeZone[id=GMT,offset=0,dstSavings=3600000,useDaylight=false,startYear=0,startMode=0,startMonth=0,startDay=0,startDayOfWeek=0,startTime=0,startTimeMode=0,endMode=0,endMonth=0,endDay=0,endDayOfWeek=0,endTime=0,endTimeMode=0]"
"<java.lang.ThreadLocal: void set(java.lang.Object)>","java.lang.ref.SoftReference@7475537"
"<java.lang.String: boolean startsWith(java.lang.String)>","org.joda.time."
"<java.lang.String: boolean startsWith(java.lang.String)>","javax.xml."
"<java.lang.String: boolean startsWith(java.lang.String)>","net.sf.cglib.proxy."
"<java.lang.String: boolean startsWith(java.lang.String)>","org.hibernate.proxy."
"<java.lang.String: boolean startsWith(java.lang.String)>","get"
"<java.lang.String: boolean startsWith(java.lang.String)>","get"
"<java.lang.StringBuilder: void setCharAt(int,char)>","0","t"
"<java.lang.String: boolean startsWith(java.lang.String)>","get"
"<java.lang.String: boolean startsWith(java.lang.String)>","get"
"<java.lang.StringBuilder: void setCharAt(int,char)>","0","u"
"<java.lang.ThreadLocal: void set(java.lang.Object)>","java.lang.ref.SoftReference@ae2cbc2"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-2h8m58s89ms what=1 target=com.turntable.gk.TestGame$4 }"
"<android.widget.ProgressBar: void setVisibility(int)>","8"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.view.View: void setBackgroundResource(int)>","2130837521"
