"<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>","org.anddev.andengine.opengl.view.RenderSurfaceView{982b448 V.E...... ......I. 0,0-0,0}","android.widget.FrameLayout$LayoutParams@744e2e1"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gfx/play.png"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@7d6c68c","null","android.graphics.BitmapFactory$Options@33961d5"
"<java.util.HashSet: boolean add(java.lang.Object)>","org.anddev.andengine.opengl.texture.region.buffer.TextureRegionBuffer@afbbdea"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@e0958db","0","8"
"<java.util.HashSet: boolean add(java.lang.Object)>","org.anddev.andengine.opengl.texture.Texture@76fbf78"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gfx/bg.png"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@5bb4651","null","android.graphics.BitmapFactory$Options@3cfceb6"
"<java.util.HashSet: boolean add(java.lang.Object)>","org.anddev.andengine.opengl.texture.region.buffer.TextureRegionBuffer@73aa7b7"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@19d5b24","0","8"
"<java.util.HashSet: boolean add(java.lang.Object)>","org.anddev.andengine.opengl.texture.Texture@39cf68d"
"<java.util.HashSet: boolean add(java.lang.Object)>","org.anddev.andengine.opengl.texture.region.buffer.TextureRegionBuffer@edeeabc"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@9d76a45","0","8"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gfx/particle_launcher.png"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@977759a","null","android.graphics.BitmapFactory$Options@cce2ecb"
"<java.util.HashSet: boolean add(java.lang.Object)>","org.anddev.andengine.opengl.texture.region.buffer.TextureRegionBuffer@20df6a8"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@f0965c1","0","8"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gfx/arrow.png"
