"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.app.Activity: void setContentView(android.view.View)>","android.widget.RelativeLayout{f9ddc90 V.E...... ......I. 0,0-0,0}"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","pm"
"<java.nio.ShortBuffer: java.nio.ShortBuffer put(short[],int,int)>","[S@ed41cf2","0","1200"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","items.png"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","click.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","fire.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","settle.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","select.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","stageclear.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","broken.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","win.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","gameover.mp3"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 2"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 9"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1568"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1520"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1520"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 12"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1344"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1120"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","992"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","992"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","976"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","848"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","544"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","528"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","528"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","528"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","528"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","432"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 14"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","352"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","352"
