"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.app.Activity: void setContentView(android.view.View)>","android.widget.RelativeLayout{33f43db V.E...... ......I. 0,0-0,0}"
"<android.view.View: void setFocusable(boolean)>","0"
"<android.view.Window: void setAttributes(android.view.WindowManager$LayoutParams)>","{(0,0)(fillxfill) ty=APPLICATION wanim=0x1030001 needsMenuKey
"
"  fl=LAYOUT_IN_SCREEN FULLSCREEN LAYOUT_INSET_DECOR}""","l=LAYOUT_IN_SCREEN FULLSCREEN LAYOUT_INSET_DECOR}"""
"<java.io.OutputStream: void write(byte[])>","[B@427058e"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-47s500ms what=0 target=com.RunnerGames.game.Jewelsyb.LostTreasure_Lite$3 }"
"<android.view.View: void setFocusable(boolean)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837933"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837933"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 320"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 576"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Text use RAM: 720 KBytes"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-48s33ms what=0 target=com.RunnerGames.game.Jewelsyb.LostTreasure_Lite$2 }"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-48s957ms what=0 target=com.RunnerGames.game.Jewelsyb.LostTreasure_Lite$2 }"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968598"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837504"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837504"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 56"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 56"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 0 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837505"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837505"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 56"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 56"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 12 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837506"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837506"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 44"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 37"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 24 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837507"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837507"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 44"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 37"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 31 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837508"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837508"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 44"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 37"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 37 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837509"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837509"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 44"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 37"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
