"<android.app.Activity: void setContentView(int)>","2130903041"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfx/BtnClick5.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","BtnClick5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfx/LevelCompleted2.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","LevelCompleted2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfx/firework.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","firework.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfx/gemClear2-3.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gemClear2-3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfx/gemClear5.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gemClear5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfx/gemDrop2.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gemDrop2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfx/laserCharge3.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","laserCharge3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfx/mainTheme.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","mainTheme.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfx/theme2.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","theme2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","Copying file - /data/data/com.balloonisland.hfx/theme4.mp3"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","theme4.mp3"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","apk path","/data/app/com.balloonisland.hfx-tc5DpWa64C-bLu3h0e4nEQ==/base.apk"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<android.app.Activity: void setContentView(int)>","2130903041"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/BtnClick5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/LevelCompleted2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/firework.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/gemClear2-0.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/gemClear2-1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/gemClear2-2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/gemClear2-3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/gemClear5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/gemDrop2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/laserCharge3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/mainTheme.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/missionFail.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/ready.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/scoreTick1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/shaking2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/spark.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/stDialog1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hfx/theme2.mp3"
"<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>","com.balloonisland.hfx.OpeningActivity@efe448e","class com.balloonisland.hfx.StarGems"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { cmp=com.balloonisland.hfx/.StarGems }"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","apk path","/data/app/com.balloonisland.hfx-tc5DpWa64C-bLu3h0e4nEQ==/base.apk"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
