"<dalvik.system.VMRuntime: float setTargetHeapUtilization(float)>","0.75"
"<dalvik.system.VMRuntime: long setMinimumHeapSize(long)>","8388608"
"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","pic/color.png"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@feb8cb0","null","android.graphics.BitmapFactory$Options@c48b729"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","pic/color.rdf"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","pic/line2.png"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@3c88e0d","null","android.graphics.BitmapFactory$Options@2baa1c2"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","pic/line2.rdf"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","pic/particles.png"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@87b2310","null","android.graphics.BitmapFactory$Options@f7cfe09"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","pic/particles.rdf"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@5a882ce","null","android.graphics.BitmapFactory$Options@9eea5ef"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","pic/bg/f12.rdf"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","pic/bg/f13.jpg"
