"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","nnx.bc"
"<java.io.OutputStream: void write(byte[])>","[B@b806b55"
"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.view.View: void setFocusable(boolean)>","1"
"<android.app.Activity: void setContentView(android.view.View)>","com.zhuoqiu.goodgoer.Vviews{f1fc96a VFE...... ......I. 0,0-0,0}"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968588"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","1"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","2"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","3"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","4"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","5"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","6"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<android.content.ContextWrapper: java.io.FileInputStream openFileInput(java.lang.String)>","vegaspool"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
