"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-2h34m1s436ms what=0 target=com.RunnerGames.game.Jewelsybw.LostTreasure_Lite$3 }"
"<android.app.Activity: void setContentView(android.view.View)>","android.widget.RelativeLayout{e5fc98 V.E...... ......I. 0,0-0,0}"
"<android.view.View: void setFocusable(boolean)>","0"
"<android.view.Window: void setAttributes(android.view.WindowManager$LayoutParams)>","{(0,0)(fillxfill) ty=APPLICATION wanim=0x1030001 needsMenuKey
"
"  fl=LAYOUT_IN_SCREEN FULLSCREEN LAYOUT_INSET_DECOR}""","l=LAYOUT_IN_SCREEN FULLSCREEN LAYOUT_INSET_DECOR}"""
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-2h34m2s27ms what=0 target=com.RunnerGames.game.Jewelsybw.LostTreasure_Lite$3 }"
"<android.view.View: void setFocusable(boolean)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837933"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837933"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 320"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 576"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Text use RAM: 720 KBytes"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-2h34m3s288ms what=0 target=com.RunnerGames.game.Jewelsybw.LostTreasure_Lite$2 }"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-2h34m4s465ms what=0 target=com.RunnerGames.game.Jewelsybw.LostTreasure_Lite$2 }"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968598"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837504"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837504"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 56"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 56"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 0 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837505"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837505"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 56"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 56"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 12 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837506"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837506"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 44"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 37"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 24 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837507"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837507"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 44"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 37"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 31 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837508"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837508"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 44"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 37"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 37 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837509"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837509"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 44"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 37"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 44 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837510"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837510"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 44"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 37"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 50 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837511"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837511"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 44"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 37"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 57 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837512"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837512"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 63 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837513"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837513"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 62"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 38"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 70 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837514"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837514"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 57"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 38"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
