"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","nnx.bc"
"<java.io.OutputStream: void write(byte[])>","[B@71ab110"
"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-57s147ms barrier=0 }"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { cmp=org.nwhy.WhackAMolesysgr/.WhackAMole }"
"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.app.Activity: void setContentView(int)>","2130903043"
"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-1m25s58ms barrier=0 }"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { cmp=org.nwhy.WhackAMolesysgr/.WhackAMole }"
"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-2m15s394ms barrier=0 }"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { cmp=org.nwhy.WhackAMolesysgr/.WhackAMole }"
"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.app.Activity: void setContentView(int)>","2130903043"
"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-2m26s867ms barrier=0 }"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { cmp=org.nwhy.WhackAMolesysgr/.WhackAMole }"
"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.app.Activity: void setContentView(int)>","2130903043"
"<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>","org.nwhy.WhackAMolesysgr.WhackAMole@57dce21","class org.nwhy.WhackAMolesysgr.About"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { cmp=org.nwhy.WhackAMolesysgr/.About }"
"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.app.Activity: void setContentView(int)>","2130903041"
