<android.view.View: void setFocusableInTouchMode(boolean)>;"1"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@68e5ed9","Dalvik/2.1.0 (Linux; U; Android 9; AOSP on IA Emulator Build/PSR1.180720.117)"
<java.io.OutputStream: void write(byte[])>;"[B@462f416"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Cocos2dxActivity","product=sdk_gphone_x86_arm"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Cocos2dxActivity","model=AOSP on IA Emulator"
<android.widget.ImageView: void setImageDrawable(android.graphics.drawable.Drawable)>;"android.graphics.drawable.BitmapDrawable@5ab09e"
<android.widget.ImageView: void setImageDrawable(android.graphics.drawable.Drawable)>;"android.graphics.drawable.BitmapDrawable@7a04c23"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Cocos2dxActivity","isEmulator=true"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.FrameLayout{8b9dd08 V.E...... ......I. 0,0-0,0}"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@749934c","Dalvik/2.1.0 (Linux; U; Android 9; AOSP on IA Emulator Build/PSR1.180720.117)"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.FrameLayout{da74e87 V.E...... ......I. 0,0-0,0}"
