<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<android.widget.ImageView: void setVisibility(int)>;"0"
<android.widget.ProgressBar: void setProgress(int)>;"26"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 191.96822][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.widget.ProgressBar: void setProgress(int)>;"37"
<java.net.URL: void <init>;ava.lang.String)>","https://apir.direct-tap.com/bootstrap.json?xoauth_requestor_id="
<android.util.Log: int e(java.lang.String,java.lang.String)>;"Main","onStart"
<android.widget.ProgressBar: void setProgress(int)>;"5"
<android.graphics.Matrix: void setTranslate(float,float)>;"58.28575","0.0"
<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>;"FILL"
<android.widget.ProgressBar: void setProgress(int)>;"0"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Accept-Encoding","identity"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Type","application/x-www-form-urlencoded"
<android.widget.ProgressBar: void setProgress(int)>;"10"
<android.widget.ProgressBar: void setProgress(int)>;"38"
<android.widget.ProgressBar: void setProgress(int)>;"28"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Connection","close"
<android.graphics.Matrix: void setTranslate(float,float)>;"191.96822","0.0"
<android.widget.ProgressBar: void setProgress(int)>;"1"
<android.os.Handler: boolean sendEmptyMessage(int)>;"44"
<android.widget.ProgressBar: void setProgress(int)>;"16"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.RelativeLayout{609a972 V.E...... ......I. 0,0-0,0}"
<android.app.Activity: void startActivity(android.content.Intent)>;"Intent { flg=0x10000000 cmp=com.cat.pianocgo/.MainWindow }"
<android.view.View: void setVisibility(int)>;"8"
<android.app.Activity: void setContentView(int)>;"2130903060"
<android.widget.ProgressBar: void setProgress(int)>;"31"
<android.os.Handler: boolean sendEmptyMessageDelayed(int,long)>;"100001","240000"
<android.app.Activity: void setVolumeControlStream(int)>;"3"
<android.widget.ProgressBar: void setProgress(int)>;"2"
<android.widget.ProgressBar: void setProgress(int)>;"17"
<android.widget.ProgressBar: void setProgress(int)>;"33"
<android.widget.ProgressBar: void setProgress(int)>;"25"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 10.729018][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.widget.ProgressBar: void setProgress(int)>;"4"
<android.os.Handler: boolean sendEmptyMessageDelayed(int,long)>;"0","20000"
<android.widget.ProgressBar: void setProgress(int)>;"35"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"Rate"
<android.graphics.Matrix: void setTranslate(float,float)>;"119.25097","0.0"
<android.widget.ProgressBar: void setProgress(int)>;"8"
<android.widget.ProgressBar: void setProgress(int)>;"11"
<android.app.Dialog: void setContentView(android.view.View)>;"android.widget.LinearLayout{4c9ca5e V.E...... ......I. 0,0-0,0}"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.RelativeLayout{53c64ab V.E...... ......I. 0,0-0,0}"
<android.graphics.Matrix: void setTranslate(float,float)>;"259.0061","0.0"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"No, thanks"
<android.widget.ProgressBar: void setProgress(int)>;"34"
<android.widget.ProgressBar: void setProgress(int)>;"13"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 319.72977][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"ExchangerSDK","Starting Exchanger sdk"
<android.os.Handler: boolean sendEmptyMessage(int)>;"33"
