<android.view.Window: void setAttributes(android.view.WindowManager$LayoutParams)>;"{(0,0)(fillxfill) ty=BASE_APPLICATION wanim=0x1030001 needsMenuKey
<java.lang.StringBuilder: void setCharAt(int,char)>;"0","p"
<java.lang.String: boolean startsWith(java.lang.String)>;"net.sf.cglib.proxy."
<android.widget.ImageView: void setVisibility(int)>;"0"
<java.io.OutputStream: void write(byte[])>;"[B@88e24f"
<java.io.Writer: void write(java.lang.String)>;"9fe24d623fc8cdc7"
<android.view.View: void setClickable(boolean)>;"1"
<android.graphics.Paint: void setARGB(int,int,int,int)>;"255","255","0","0"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-2h8m58s89ms what=1 target=com.turntable.gk.TestGame$4 }"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-20m7s404ms what=1 target=com.turntable.gk.TestGame$4 }"
<android.app.AlertDialog: void setView(android.view.View,int,int,int,int)>;"android.widget.LinearLayout{96a5e45 V.E...... ......I. 0,0-0,0}","0","0","0","0"
<android.widget.ProgressBar: void setVisibility(int)>;"4"
<android.app.AlertDialog: void setView(android.view.View,int,int,int,int)>;"android.widget.LinearLayout{f7e7b47 V.E...... ......I. 0,0-0,0}","0","0","0","0"
<android.app.Activity: void setContentView(int)>;"2130903044"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-2h9m14s332ms what=1 target=com.turntable.gk.TestGame$4 }"
<java.lang.ThreadLocal: void set(java.lang.Object)>;"java.lang.ref.SoftReference@7475537"
<android.app.AlertDialog: void setView(android.view.View,int,int,int,int)>;"android.widget.LinearLayout{59999d0 V.E...... ......I. 0,0-0,0}","0","0","0","0"
<java.text.DateFormat: void setTimeZone(java.util.TimeZone)>;"java.util.SimpleTimeZone[id=GMT,offset=0,dstSavings=3600000,useDaylight=false,startYear=0,startMode=0,startMonth=0,startDay=0,startDayOfWeek=0,startTime=0,startTimeMode=0,endMode=0,endMonth=0,endDay=0,endDayOfWeek=0,endTime=0,endTimeMode=0]"
<java.lang.String: boolean startsWith(java.lang.String)>;"org.joda.time."
<android.view.View: void setBackgroundResource(int)>;"2130837521"
<java.lang.ThreadLocal: void set(java.lang.Object)>;"java.lang.ref.SoftReference@ae2cbc2"
<android.widget.ImageView: void setVisibility(int)>;"4"
<android.widget.TextView: void setTextSize(float)>;"15.0"
<android.view.View: void setFocusable(boolean)>;"0"
<android.app.Activity: void setContentView(int)>;"2130903043"
<android.view.View: void setBackgroundResource(int)>;"2130837554"
<java.lang.String: boolean startsWith(java.lang.String)>;"get"
<android.app.Activity: void startActivityForResult(android.content.Intent,int)>;"Intent { cmp=com.turntable.gk/.SelectGlod (has extras) }","3"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"检测到您的手机尚未安装微博钱包安全支付组件，为了支付安全，请立即安装."
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"nnx.bc"
<android.view.View: void setBackgroundResource(int)>;"2130837518"
<android.widget.ProgressBar: void setVisibility(int)>;"8"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"网络异常，请查看网络 ，谢谢！"
<android.app.AlertDialog: void setView(android.view.View,int,int,int,int)>;"android.widget.LinearLayout{a9d7fee V.E...... ......I. 0,0-0,0}","0","0","0","0"
<android.app.AlertDialog: void setView(android.view.View,int,int,int,int)>;"android.widget.LinearLayout{556d4fb V.E...... ......I. 0,0-0,0}","0","0","0","0"
<android.view.View: void setBackgroundResource(int)>;"2130837510"
<java.lang.String: boolean startsWith(java.lang.String)>;"javax.xml."
<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>;"STROKE"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"ccn.ac"
<android.view.View: void setFocusable(boolean)>;"1"
<java.io.OutputStream: void write(byte[])>;"[B@4907f18"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"需支付金额：1元  "
<android.widget.ProgressBar: void setVisibility(int)>;"0"
<java.lang.StringBuilder: void setCharAt(int,char)>;"0","m"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"0"
<java.io.OutputStream: void write(byte[])>;"[B@45420d6"
<android.widget.TextView: void setTextColor(int)>;"-1"
; fl=LAYOUT_IN_SCREEN LAYOUT_NO_LIMITS FULLSCREEN LAYOUT_INSET_DECOR}""","l=LAYOUT_IN_SCREEN LAYOUT_NO_LIMITS FULLSCREEN LAYOUT_INSET_DECOR}"""
<java.lang.StringBuilder: void setCharAt(int,char)>;"0","t"
<android.app.AlertDialog: void setView(android.view.View,int,int,int,int)>;"android.widget.LinearLayout{9693bbd V.E...... ......I. 0,0-0,0}","0","0","0","0"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-22m5s519ms what=1 target=com.turntable.gk.SelectGlod$8 }"
<android.app.AlertDialog: void setView(android.view.View,int,int,int,int)>;"android.widget.LinearLayout{b1b8cb7 V.E...... ......I. 0,0-0,0}","0","0","0","0"
<java.lang.String: boolean startsWith(java.lang.String)>;"org.hibernate.proxy."
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-3h59m4s988ms what=1 target=com.turntable.gk.TestGame$4 }"
<java.lang.ThreadLocal: void set(java.lang.Object)>;"java.lang.ref.SoftReference@4bab009"
;<android.view.View: void setBackgroundResource(int)>;"2130837522"
<java.lang.StringBuilder: void setCharAt(int,char)>;"0","u"
<android.app.Activity: void startActivity(android.content.Intent)>;"Intent { act=android.intent.action.VIEW dat=market://details?id=com.RunnerGames.game.PumpkinsVsMonster_AD flg=0x10000000 }"
