<android.view.View: void setFocusableInTouchMode(boolean)>;"1"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"nnx.bc"
<android.app.Activity: void setContentView(android.view.View)>;"com.polarbit.fuse.Fuse$RenderSurface{67f6b4 VFE...... ......I. 0,0-0,0}"
<java.io.OutputStream: void write(byte[])>;"[B@5073787"
<android.view.Window: void setFlags(int,int)>;"128","128"
<java.io.OutputStream: void write(byte[])>;"[B@4868879"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"ccn.ac"
<java.io.OutputStream: void write(byte[])>;"[B@29d5110"
<android.app.Activity: void setContentView(android.view.View)>;"com.polarbit.fuse.Fuse$RenderSurface{e0e9409 VFE...... ......I. 0,0-0,0}"
<android.app.Activity: void setContentView(android.view.View)>;"com.polarbit.fuse.Fuse$RenderSurface{17329be VFE...... ......I. 0,0-0,0}"
<android.app.Activity: void setContentView(android.view.View)>;"com.polarbit.fuse.Fuse$RenderSurface{6799fc2 VFE...... ......I. 0,0-0,0}"
