<android.app.Activity: void startActivity(android.content.Intent)>;"Intent { cmp=com.tuhao.Zms/.ZombocalypseActivity }"
<java.io.OutputStream: void write(byte[])>;"[B@96141a6"
<android.widget.TextView: void setText(java.lang.CharSequence)>;" PISTOL"
<android.widget.TextView: void setText(java.lang.CharSequence)>;" MINI GUN"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"ComboState","ComboState"
<java.io.OutputStream: void write(byte[])>;"[B@3511801"
<android.widget.TextView: void setText(java.lang.CharSequence)>;" GODHAND"
<java.io.OutputStream: void write(byte[])>;"[B@ec3d7fe"
<android.widget.TextView: void setText(java.lang.CharSequence)>;" MACHETE"
<android.app.Activity: void setContentView(int)>;"2130903041"
<android.view.View: void setVisibility(int)>;"4"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-3m21s468ms what=0 target=com.tuhao.Zms.SurfaceAnimationView$1$1 }"
<android.widget.TextView: void setText(java.lang.CharSequence)>;" MFG"
<android.widget.TextView: void setText(java.lang.CharSequence)>;" RIOT SHIELD"
<android.view.Window: void setFlags(int,int)>;"128","128"
<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>;"FILL"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.tuhao.Zms.FirstActivity@9e6f0d0","class com.tuhao.Zms.ZombocalypseActivity"
<android.widget.TextView: void setText(java.lang.CharSequence)>;" SNIPER GUN"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"MobclickAgent","missing appkey "
<java.io.OutputStream: void write(byte[])>;"[B@6cdf66f"
<android.widget.TextView: void setText(java.lang.CharSequence)>;" FLAMETHROWER"
<android.view.Window: void setFlags(int,int)>;"1024","1024"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.tuhao.Zms.FirstActivity@6737d76","class com.tuhao.Zms.ZombocalypseActivity"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.tuhao.Zms.FirstActivity@19007b9","class com.tuhao.Zms.ZombocalypseActivity"
<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>;"STROKE"
<android.app.Activity: void setContentView(int)>;"2130903042"
<android.widget.TextView: void setText(java.lang.CharSequence)>;" SHOTGUN"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"0"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"Rank 1-Commander"
<android.view.View: void setVisibility(int)>;"0"
<android.widget.TextView: void setText(java.lang.CharSequence)>;" ASSAULT RIFLE"
<java.io.OutputStream: void write(byte[])>;"[B@36826a"
