<android.view.View: void setFocusableInTouchMode(boolean)>;"1"
<android.widget.ImageView: void setImageDrawable(android.graphics.drawable.Drawable)>;"android.graphics.drawable.BitmapDrawable@c84208f"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Cocos2dxActivity","product=sdk_gphone_x86_arm"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Cocos2dxActivity","model=AOSP on IA Emulator"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.FrameLayout{5ce12f2 V.E...... ......I. 0,0-0,0}"
<android.widget.ImageView: void setImageDrawable(android.graphics.drawable.Drawable)>;"android.graphics.drawable.BitmapDrawable@40d3aae"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Cocos2dxActivity","isEmulator=true"
<android.widget.ImageView: void setImageDrawable(android.graphics.drawable.Drawable)>;"android.graphics.drawable.BitmapDrawable@df237b5"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@c41d1bb","Dalvik/2.1.0 (Linux; U; Android 9; AOSP on IA Emulator Build/PSR1.180720.117)"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.FrameLayout{de1ed57 V.E...... ......I. 0,0-0,0}"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.FrameLayout{8d96384 V.E...... ......I. 0,0-0,0}"
