<android.view.View: void setFocusableInTouchMode(boolean)>;"1"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.FrameLayout{de7acb8 V.E...... ......I. 0,0-0,0}"
<java.io.OutputStream: void write(byte[])>;"[B@6a5d746"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"nnx.bc"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Cocos2dxActivity","product=sdk_gphone_x86_arm"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Cocos2dxActivity","model=AOSP on IA Emulator"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sounds/TiaoYue02.mp3"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Cocos2dxActivity","isEmulator=true"
<java.lang.String: boolean startsWith(java.lang.String)>;"/"
<android.app.Activity: void setContentView(int)>;"2130903040"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.FrameLayout{48065f7 V.E...... ......I. 0,0-0,0}"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"ccn.ac"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sounds/AnNiu01.mp3"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sounds/BeiJing01.mp3"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sounds/SiWang02.mp3"
