<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobileAnaylise","syncContents: p=android&a=null&m=2.1.3b01&d=null&v=1.505&j=[{""hb"":{""g"":""wifi"",""id"":""a29bb12b38e7b3cfea90bcd6b373994ec250c4"",""a"":""null"",""p"":""android"",""m"":""2.1.3b01"",""v"":""1.505"",""d"":""null"",""dm"":""null"",""dv"":""null"",""hwdm"":""null"",""lg"":""en"",""lo"":""United+States"",""pn"":""com.forthblue.diknkyl""},""ev"":[{""ts"":1682044962173,""g"":""null"",""id"":""a29bb12b38e7b3cfea90bcd6b373994ec250c4"",""el"":""16"",""ep"":""onVisibility"",""en"":""Appear"",""ed"":""com.forthblue.diknkyl+main_view"",""et"":""2"",""es"":""0""}]}]"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@90d0dc2","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@acc27d3"
<android.widget.ImageView: void setVisibility(int)>;"0"
<java.io.OutputStream: void write(byte[])>;"[B@dff429"
<org.apache.http.entity.AbstractHttpEntity: void setContentType(java.lang.String)>;"application/octet-stream"
<java.io.OutputStream: void write(byte[])>;"[B@4130fb9"
<java.io.OutputStream: void write(byte[])>;"[B@c68b131"
<java.io.OutputStream: void write(byte[])>;"[B@9007e67"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"0 / 0"
<java.io.OutputStream: void write(byte[])>;"[B@acdd589"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@672c647","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@9323e74"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@1d8a555","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@5c7b6a"
<java.io.OutputStream: void write(byte[])>;"[B@d72a68b"
<java.io.OutputStream: void write(byte[])>;"[B@d67294a"
<java.io.OutputStream: void write(byte[])>;"[B@2e68e68"
<java.io.OutputStream: void write(byte[])>;"[B@d571449"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837591"
<java.io.OutputStream: void write(byte[])>;"[B@2eb85a2"
