<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sfx/fallintohole.ogg"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sfx/hitcar.ogg"
<android.widget.TextView: void setPadding(int,int,int,int)>;"4","0","4","10"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"gfx/WINTER/tiled_glosnik.png"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"Remind me later"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@2c6b977","null","android.graphics.BitmapFactory$Options@42969e4"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobileAnaylise","syncContents: p=android&a=null&m=2.1.3b01&d=null&v=123&j=[{""hb"":{""g"":""null"",""id"":""6b936331b33fc4ed5de7c082132e1c4f4e3698ad"",""a"":""null"",""p"":""android"",""m"":""2.1.3b01"",""v"":""42"",""d"":""null"",""dm"":""null"",""dv"":""null"",""hwdm"":""null"",""lg"":""en"",""lo"":""United+States"",""pn"":""com.game.myscvwe""},""ev"":[]}]"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sfx/coin.ogg"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sfx/jump/2.ogg"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sfx/jump/3.ogg"
<java.util.HashSet: boolean add(java.lang.Object)>;"org.andengine.opengl.c.a.a.a@f1e7525"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"gfx/WINTER/tex1texturepacker.xml"
<android.os.Handler: boolean sendEmptyMessageDelayed(int,long)>;"100001","240000"
<java.net.URL: void <init>;ava.lang.String)>","http://data.doodlemobile.com:8080/dmdata/ReceiveServlet"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@703ce9b","null","android.graphics.BitmapFactory$Options@c746238"
<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>;"android.widget.FrameLayout{9398fde V.E...... ......I. 0,0-0,0}","android.widget.FrameLayout$LayoutParams@b0c15bf"
<java.util.HashSet: boolean add(java.lang.Object)>;"org.andengine.opengl.c.a.a.a@f5889ee"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@30ff195","null","android.graphics.BitmapFactory$Options@7a372aa"
<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>;"android.widget.FrameLayout{66f256b V.E...... ......I. 0,0-0,0}","android.widget.FrameLayout$LayoutParams@67bb8c8"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sfx/slidebuilding.ogg"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@68d056d","null","android.graphics.BitmapFactory$Options@100b5a2"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sfx/trampoline.ogg"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@32d197f","null","android.graphics.BitmapFactory$Options@f32bd4c"
<android.view.Window: void setFlags(int,int)>;"128","128"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"gfx/WINTER/tex0texturepacker.xml"
<java.util.HashSet: boolean add(java.lang.Object)>;"org.andengine.opengl.c.b.b@c23e8c6"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobileAnaylise","create files"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobileAnaylise","syncContents: p=android&a=null&m=2.1.3b01&d=null&v=42&j=[{""hb"":{""g"":""null"",""id"":""6b936331b33fc4ed5de7c082132e1c4f4e3698ad"",""a"":""null"",""p"":""android"",""m"":""2.1.3b01"",""v"":""42"",""d"":""null"",""dm"":""null"",""dv"":""null"",""hwdm"":""null"",""lg"":""en"",""lo"":""United+States"",""pn"":""com.game.myscvwe""},""ev"":[]}]"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"gfx/system/reklama.png"
<android.app.Dialog: void setTitle(java.lang.CharSequence)>;"Please rate  Run!Santa!Run!"
<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>;"android.widget.FrameLayout{e5fc98 V.E...... ......I. 0,0-0,0}","android.widget.FrameLayout$LayoutParams@a730cf1"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@2cb1211","null","android.graphics.BitmapFactory$Options@a1e0f76"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"gfx/WINTER/tiled_santa_8x7.png"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sfx/gong.ogg"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sfx/jump/4.ogg"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@236be23","null","android.graphics.BitmapFactory$Options@14fcf20"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sfx/hitground.ogg"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@8a52708","null","android.graphics.BitmapFactory$Options@8663ea1"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sfx/jump/5.ogg"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"If you enjoy using  Run!Santa!Run!, please take a moment to rate it. Thanks!"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@e3dbe4d","null","android.graphics.BitmapFactory$Options@cd3ad02"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sfx/jump/1.ogg"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sfx/shutter.ogg"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"gfx/WINTER/menu_kopia.png"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"gfx/WINTER/tex0texturepacker.png"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"Rate"
