<android.util.Log: int i(java.lang.String,java.lang.String)>;"ssc","applicationID  1 is D004C6622221462C"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837635"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682066106225"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@819bd85","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@49267da"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sound/button.ogg"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837664"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sound/victory.ogg"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@30d0857","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@f613f44"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobile","Warning: DownloadScreenImageAPI"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837656"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@68ef7b","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@9c7a198"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837545"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@fdca5e7","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@3293594"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@56da7ef","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@ab582fc"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@7cec281","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@3124f26"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837648"
<android.os.Handler: boolean sendEmptyMessage(int)>;"100001"
<android.view.View: void setVisibility(int)>;"8"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sound/wooddrop.ogg"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"sound/lock.ogg"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837544"
<android.os.Handler: boolean sendEmptyMessage(int)>;"101"
<android.os.Handler: boolean sendEmptyMessage(int)>;"106"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837659"
<android.os.Handler: boolean sendEmptyMessageDelayed(int,long)>;"100001","240000"
<android.app.Activity: void setVolumeControlStream(int)>;"3"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837553"
<android.app.Activity: void setContentView(android.view.View)>;"com.doodlemobile.basket.opengl.l{54fa913 V.E...... ......I. 0,0-0,0}"
