<android.app.Activity: void setContentView(android.view.View)>;"com.donutgames.dgkit.DGLayout{4cacbea V.E...... ......I. 0,0-0,0}"
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@7d83c92","YourEmailAddress"
<android.widget.ProgressBar: void setProgress(int)>;"26"
<android.widget.ProgressBar: void setProgress(int)>;"37"
<android.widget.ProgressBar: void setProgress(int)>;"5"
<android.widget.ProgressBar: void setProgress(int)>;"0"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"airshipconfig.properties"
<android.widget.ProgressBar: void setProgress(int)>;"10"
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@911a34f","c2dm"
<android.content.Intent: android.content.Intent setAction(java.lang.String)>;"com.urbanairship.push.START"
<android.widget.ProgressBar: void setProgress(int)>;"38"
<android.widget.ProgressBar: void setProgress(int)>;"28"
<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>;"60","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_SHIFT_RIGHT, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=41095533, downTime=41095533, deviceId=-1, source=0x101 }"
<android.widget.ProgressBar: void setProgress(int)>;"1"
<android.os.Handler: boolean sendEmptyMessage(int)>;"44"
<android.content.ContextWrapper: boolean bindService(android.content.Intent,android.content.ServiceConnection,int)>;"Intent { act=com.android.vending.billing.InAppBillingService.BIND }","com.donutgames.dgkit.DGKitActivity@681bcb6","1"
<android.widget.ProgressBar: void setProgress(int)>;"16"
<android.app.Activity: void startActivity(android.content.Intent)>;"Intent { flg=0x10000000 cmp=com.cat.pianocgo/.MainWindow }"
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@7d83c92","YourProductionAppKey"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"2.mn"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"logo.da"
<java.io.OutputStream: void write(byte[])>;"[B@a5ecadc"
<java.util.Properties: java.lang.Object setProperty(java.lang.String,java.lang.String)>;"game.version","1.0"
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@7d83c92","YourDevelopmentAppSecret"
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@7d83c92","c2dm"
<android.app.Activity: void setContentView(int)>;"2130903060"
<android.widget.ProgressBar: void setProgress(int)>;"31"
<android.os.Handler: boolean sendEmptyMessageDelayed(int,long)>;"100001","240000"
<android.app.Activity: void setVolumeControlStream(int)>;"3"
<android.widget.ProgressBar: void setProgress(int)>;"2"
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@911a34f","YourDevelopmentAppKey"
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@7d83c92","YourProductionAppSecret"
<android.widget.ProgressBar: void setProgress(int)>;"17"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Toonix - UALib","Push Service started with intent=Intent { act=com.urbanairship.push.START cmp=com.blokwise.cartl/com.urbanairship.push.PushService }"
<android.widget.ProgressBar: void setProgress(int)>;"33"
<android.widget.ProgressBar: void setProgress(int)>;"25"
<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>;"android.widget.FrameLayout{e5fc98 V.E...... ......I. 0,0-0,0}","android.widget.FrameLayout$LayoutParams@a730cf1"
<android.widget.ProgressBar: void setProgress(int)>;"4"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"scoreloop.properties"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Toonix - UALib","Initializing Push."
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@7d83c92","false"
<android.widget.ProgressBar: void setProgress(int)>;"35"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"Rate"
<android.widget.ProgressBar: void setProgress(int)>;"8"
<android.view.View: void setKeepScreenOn(boolean)>;"false"
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@911a34f","YourDevelopmentAppSecret"
<android.widget.ProgressBar: void setProgress(int)>;"11"
<android.app.Dialog: void setContentView(android.view.View)>;"android.widget.LinearLayout{4c9ca5e V.E...... ......I. 0,0-0,0}"
<android.widget.ProgressBar: void setProgress(int)>;"34"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"No, thanks"
<android.widget.ProgressBar: void setProgress(int)>;"13"
<java.net.URL: void <init>;ava.lang.String)>","https://api.scoreloop.com/bayeux"
<java.util.Properties: java.lang.Object setProperty(java.lang.String,java.lang.String)>;"game.id","ba104db4-32fc-4197-8ffa-3e15d4bb4422"
<android.os.Handler: boolean sendEmptyMessage(int)>;"33"
<android.widget.TextView: void setPadding(int,int,int,int)>;"4","0","4","10"
<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>;"android.widget.FrameLayout{9398fde V.E...... ......I. 0,0-0,0}","android.widget.FrameLayout$LayoutParams@b0c15bf"
<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>;"android.widget.FrameLayout{66f256b V.E...... ......I. 0,0-0,0}","android.widget.FrameLayout$LayoutParams@67bb8c8"
<android.app.Activity: void setRequestedOrientation(int)>;"6"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobileAnaylise","create files"
<android.os.Handler: boolean sendEmptyMessage(int)>;"55"
<android.widget.ProgressBar: void setProgress(int)>;"36"
<android.widget.ProgressBar: void setProgress(int)>;"7"
<android.widget.ProgressBar: void setProgress(int)>;"24"
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@7d83c92","YourDevelopmentAppKey"
<android.widget.ProgressBar: void setProgress(int)>;"23"
<android.widget.ProgressBar: void setProgress(int)>;"15"
<android.view.View: void setBackgroundResource(int)>;"2130837575"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"Splash","DISMISS_PROGRESSBAR"
<android.widget.ProgressBar: void setProgress(int)>;"20"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"If you enjoy using  Run!Santa!Run!, please take a moment to rate it. Thanks!"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"photo.da"
<android.widget.ProgressBar: void setVisibility(int)>;"0"
<android.app.Dialog: void setContentView(android.view.View)>;"android.widget.LinearLayout{c323c8d V.E...... ......I. 0,0-0,0}"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"Splash","UPDATE_PROGRESSBAR"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Toonix - UALib","Airship Take Off! Lib Version: 1.1.3 / App key = YourDevelopmentAppKey / secret = YourDevelopmentAppSecret"
<android.widget.ProgressBar: void setProgress(int)>;"9"
<android.widget.ProgressBar: void setProgress(int)>;"40"
<android.widget.ProgressBar: void setProgress(int)>;"30"
<android.widget.ProgressBar: void setProgress(int)>;"39"
<android.app.Activity: void startActivity(android.content.Intent)>;"Intent { act=android.intent.action.VIEW dat=http://www.donutgames.com/... }"
<android.widget.ProgressBar: void setProgress(int)>;"18"
<android.widget.ProgressBar: void setProgress(int)>;"42"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Toonix - UALib","In Production? false"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"Remind me later"
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@911a34f","false"
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@911a34f","YourProductionAppKey"
<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>;"247","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_TV_INPUT_COMPOSITE_1, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=41100406, downTime=41100406, deviceId=-1, source=0x101 }"
<android.app.Dialog: void setContentView(android.view.View)>;"android.widget.LinearLayout{88e24f V.E...... ......I. 0,0-0,0}"
<android.widget.ProgressBar: void setProgress(int)>;"12"
<java.util.Properties: java.lang.Object setProperty(java.lang.String,java.lang.String)>;"game.secret","OlvipsU0NRMoRGvF9q9p6uTHPx5w2HkrkINVTlbXty8vtVJQRDtz6Q=="
<android.widget.ProgressBar: void setProgress(int)>;"27"
<android.widget.ProgressBar: void setProgress(int)>;"21"
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@911a34f","YourProductionAppSecret"
<android.widget.ProgressBar: void setProgress(int)>;"3"
<android.widget.ProgressBar: void setProgress(int)>;"6"
<android.app.Dialog: void setTitle(java.lang.CharSequence)>;"Please rate  Run!Santa!Run!"
<android.widget.ProgressBar: void setProgress(int)>;"14"
<android.widget.ProgressBar: void setProgress(int)>;"29"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"nnx.bc"
<android.widget.ProgressBar: void setProgress(int)>;"22"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"1.mn"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Toonix - UALib","Initializing Analytics."
<android.widget.ProgressBar: void setProgress(int)>;"19"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"ccn.ac"
<java.lang.reflect.Field: void set(java.lang.Object,java.lang.Object)>;"com.urbanairship.AirshipConfigOptions@911a34f","YourEmailAddress"
<android.widget.ProgressBar: void setProgress(int)>;"32"
<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>;"20","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_DOWN, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=41101658, downTime=41101658, deviceId=-1, source=0x101 }"
<java.io.OutputStream: void write(byte[])>;"[B@ed3fe75"
<android.view.View: void setVisibility(int)>;"0"
<android.widget.ProgressBar: void setProgress(int)>;"41"
<android.widget.ProgressBar: void setProgress(int)>;"43"
