<android.app.Activity: void startActivity(android.content.Intent)>;"Intent { cmp=com.tgb.bg.jevcyx/.views.TGBMainMenu }"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@e36ba3c","null","android.graphics.BitmapFactory$Options@73c3c5"
<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>;"org.anddev.andengine.opengl.view.RenderSurfaceView{64e911a V.E...... ......I. 0,0-0,0}","android.widget.FrameLayout$LayoutParams@3c5e44b"
<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>;"org.anddev.andengine.opengl.view.RenderSurfaceView{db4403d V.E...... ......I. 0,0-0,0}","android.widget.FrameLayout$LayoutParams@d802032"
<java.util.HashSet: boolean add(java.lang.Object)>;"org.anddev.andengine.opengl.texture.region.buffer.TextureRegionBuffer@95f8071"
<java.util.HashSet: boolean add(java.lang.Object)>;"org.anddev.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas@8cdbed7"
<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>;"org.anddev.andengine.opengl.view.RenderSurfaceView{37e5c5f V.E...... ......I. 0,0-0,0}","android.widget.FrameLayout$LayoutParams@d6c76ac"
<java.util.HashSet: boolean add(java.lang.Object)>;"org.anddev.andengine.opengl.vertex.RectangleVertexBuffer@91bf1ae"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@bd0e2dc","null","android.graphics.BitmapFactory$Options@f37cfe5"
<android.app.Activity: void setContentView(int)>;"2130903044"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"HeyzapSDK","Tracking notification-sent event."
<android.util.Log: int d(java.lang.String,java.lang.String,java.lang.Throwable)>;"AndEngine","onSurfaceChanged: pWidth=909  pHeight=545","null"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@6f1f75c","null","android.graphics.BitmapFactory$Options@b8c8a65"
