<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.340273411946725"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info:","com.ctugames.funnysk,/data/app/com.ctugames.funnysk-Zu6dNcj8QLxu-1EJY_wYHA==/base.apk,2159942"
<android.graphics.Matrix: void setTranslate(float,float)>;"221.61371","0.0"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:13.520044660802156"
<java.net.URL: void <init>;ava.lang.String)>","https://apir.direct-tap.com/bootstrap.json?xoauth_requestor_id="
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:16.404196898251104"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.693981522035571"
<android.graphics.Matrix: void setTranslate(float,float)>;"59.39527","0.0"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"bpk.png"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:0.3866833801225766"
<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>;"FILL"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:6.304150650703204"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","Publisher ID set to a14d0da431f3d7f"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"media/sound/dingdong.mp3"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.307435432767077"
<android.view.View: void setFocusable(boolean)>;"1"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:6.014506750627552"
<android.graphics.Matrix: void setTranslate(float,float)>;"310.2074","0.0"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 310.2074][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 3.2379992][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.959403684598593"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.147194752877475"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:16.67862501187788"
<android.graphics.Matrix: void setTranslate(float,float)>;"373.385","0.0"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.272556588918272"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:13.51092885065394"
<android.graphics.Matrix: void setTranslate(float,float)>;"25.75645","0.0"
<android.widget.TextView: void setTextSize(float)>;"22.90909"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.170905696077922"
<java.lang.String: boolean startsWith(java.lang.String)>;"/"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"media/sound/open.mp3"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:7.7768682616933065"
<android.util.Log: int e(java.lang.String,java.lang.String,java.lang.Throwable)>;"Cocos2dxMusic","playBackgroundMusic: error state:null","java.lang.IllegalStateException"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.704709881841993"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:5.245018672733758"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"media/sound/cola2.mp3"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"media/sound/cola.mp3"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:7.053325875134013"
<android.graphics.Matrix: void setTranslate(float,float)>;"315.33615","0.0"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:15.132097903822135"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.FrameLayout{e5fc98 V.E...... ......I. 0,0-0,0}"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.039291999864878"
<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>;"android.widget.FrameLayout{66f256b V.E...... ......I. 0,0-0,0}","android.widget.FrameLayout$LayoutParams@67bb8c8"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"User-Agent","DirectTapSDK ver1.0.3 (9;28;) Android Native"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:7.316603987255143"
<android.graphics.Matrix: void setTranslate(float,float)>;"397.44632","0.0"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.169263696494973"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"media/sound/fishing1.mp3"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.18944012527431"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"media/sound/fail.mp3"
<android.graphics.Matrix: void setTranslate(float,float)>;"62.20649","0.0"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (355ms)"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.985815328653793"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.124317592866088"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (146ms)"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:7.228482824582673"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","onSurfaceChanged"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"X-ADMOB-ISU","CE7FAD6335109EE57C0F4ECA3740B60D"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.3884921914469"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:7.999303740602418"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.91306877580898"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-11h16m24s612ms barrier=0 }"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.724681649289566"
<android.graphics.Matrix: void setTranslate(float,float)>;"396.79822","0.0"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.274862651780785"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:16.659003622994227"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.395429522519255"
<android.app.Dialog: void setTitle(java.lang.CharSequence)>;"Please rate  Run!Santa!Run!"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"DirectTapSDK","Starting DirectTap sdk"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"ccn.ac"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.910675315881681"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:0.39368716088319167"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.244734186504552"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.030915760035084"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.337079848365505"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.991699745941016"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:7.3998188036955455"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:15.973958844955003"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","playBackgroundMusic:media/sound/maintheme.mp3"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 11.764726][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 397.44632][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.3758989096817"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.177749799397391"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.818059691653094"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 315.33615][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"media/sound/click.mp3"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:13.07689583227241"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.055788155833266"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Accept-Encoding","identity"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Type","application/x-www-form-urlencoded"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:2.473469525754624E-5"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 101.764366][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.167837557650753"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:6.995602389447933"
<android.graphics.Matrix: void setTranslate(float,float)>;"331.18625","0.0"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.229105501980225"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:2.4962615001750086"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:16.322609931433746"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (456ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AndroidGraphics","Managed textures/app: { }"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 59.39527][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:1.0417241598028415"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.788134870995"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.806141120341577"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 31.821383][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.178496872336769"
<android.widget.TextView: void setTextSize(float)>;"36.727272"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 105.19205][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.view.View: void setKeepScreenOn(boolean)>;"1"
<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>;"RIGHT"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:7.862225505138161"
<android.graphics.Matrix: void setTranslate(float,float)>;"163.2475","0.0"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.995291779797595"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.920783002431666"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 373.385][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"No, thanks"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"media/sound/chumbung.mp3"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 331.18625][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.widget.TextView: void setPadding(int,int,int,int)>;"4","0","4","10"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:6.904647140602054"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"hMxy name"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:15.0885003454573"
<android.graphics.Matrix: void setTranslate(float,float)>;"397.69934","0.0"
<android.app.Activity: void startActivityForResult(android.content.Intent,int)>;"Intent { cmp=com.andgame.kocb/.QuitDialog }","0"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","onBackPressed Called"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","cocos2dxactivity::onResume"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","nativeSetPaths e"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.18845506639651"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","cocos2dxactivity::handleOnResume"
<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>;"LEFT"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 391.35342][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.694078774624083"
<android.graphics.Matrix: void setTranslate(float,float)>;"101.764366","0.0"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.766745623208458"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","Setup finished."
<android.widget.TextView: void setText(int)>;"2131034123"
<android.view.View: void setClickable(boolean)>;"1"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"IabHelper","Billing service connected."
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.13850417433096"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 272.98276][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"Remind me later"
