<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<java.net.URL: void <init>;ava.lang.String)>","https://apir.direct-tap.com/bootstrap.json?xoauth_requestor_id="
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Accept-Encoding","identity"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""f663fc5f-839b-445c-a884-4e69f603fa18"",oauth_signature=""LAbRtcRoNIMq6HP%2B5crTZY6jyF0%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682400450"",oauth_version=""1.0"""
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""75cfd851-9999-4615-b6d9-2d0f402c5e4c"",oauth_signature=""wRzXg1mDUyodSVrKR5hnlKa%2FZ5I%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682400418"",oauth_version=""1.0"""
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Sdk-Version","1.0.3"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""b3a3a30e-6efc-4469-8584-53e42366fb20"",oauth_signature=""NNG8O5rRnofII%2FXGtG0o%2FEqazHI%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682380967"",oauth_version=""1.0"""
<android.util.Log: int d(java.lang.String,java.lang.String)>;"ExchangerSDK","Starting Exchanger sdk"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"User-Agent","DirectTapSDK ver1.0.3 (9;28;) Android Native"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Type","application/x-www-form-urlencoded"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""2c89be1d-571e-4b93-a2f2-6f79202fc0d0"",oauth_signature=""bZXi11wa8CbSN6vnNV5T0aB3YsM%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682400443"",oauth_version=""1.0"""
<android.app.Activity: void setContentView(int)>;"2130903040"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Connection","close"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"DirectTapSDK","Starting DirectTap sdk"
