"<android.app.Activity: void setContentView(int)>","2130903041"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/BtnClick5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/LevelCompleted2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/firework.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-0.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemDrop2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/laserCharge3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/mainTheme.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/missionFail.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/ready.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/scoreTick1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/shaking2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/spark.mp3"
"<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>","com.balloonisland.hbtatxlz.OpeningActivity@88e24f","class com.balloonisland.hbtatxlz.StarGems"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { cmp=com.balloonisland.hbtatxlz/.StarGems }"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","apk path","/data/app/com.balloonisland.hbtatxlz-iUNgYwSosfkhJg1jLCXsDg==/base.apk"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<android.app.Activity: void setContentView(int)>","2130903041"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/BtnClick5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/LevelCompleted2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/firework.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-0.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemDrop2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/laserCharge3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/mainTheme.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/missionFail.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/ready.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/scoreTick1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/shaking2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/spark.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/stDialog1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme4.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme8.mp3"
"<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>","com.balloonisland.hbtatxlz.OpeningActivity@88e24f","class com.balloonisland.hbtatxlz.StarGems"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { cmp=com.balloonisland.hbtatxlz/.StarGems }"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","apk path","/data/app/com.balloonisland.hbtatxlz-iUNgYwSosfkhJg1jLCXsDg==/base.apk"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<android.app.Activity: void setContentView(int)>","2130903041"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/BtnClick5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/LevelCompleted2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/firework.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-0.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemDrop2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/laserCharge3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/mainTheme.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/missionFail.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/ready.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/scoreTick1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/shaking2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/spark.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/stDialog1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme4.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme8.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme9.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/ufoBomb8.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/ufoHit1.mp3"
"<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>","com.balloonisland.hbtatxlz.OpeningActivity@5101461","class com.balloonisland.hbtatxlz.StarGems"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { cmp=com.balloonisland.hbtatxlz/.StarGems }"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","apk path","/data/app/com.balloonisland.hbtatxlz-iUNgYwSosfkhJg1jLCXsDg==/base.apk"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<java.io.OutputStream: void write(byte[])>","[B@45420d6"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.app.Activity: void setContentView(android.view.View)>","com.donutgames.dgkit.DGLayout{5575f57 V.E...... ......I. 0,0-0,0}"
"<android.content.ContextWrapper: boolean bindService(android.content.Intent,android.content.ServiceConnection,int)>","Intent { act=com.android.vending.billing.InAppBillingService.BIND }","com.donutgames.dgkit.DGKitActivity@78899f3","1"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","22","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_RIGHT, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=4436842, downTime=4436842, deviceId=-1, source=0x101 }"
