"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","chobin","LVL allow :256"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","0.dat"
"<java.io.OutputStream: void write(byte[])>","[B@a5cee9d"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","1.dat"
"<java.io.OutputStream: void write(byte[])>","[B@e9ed799"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","3.dat"
"<android.app.Activity: void setRequestedOrientation(int)>","4"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Typeface: android.graphics.Typeface create(android.graphics.Typeface,int)>","android.graphics.Typeface@3afd5431","0"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
