"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.view.View: void setBackgroundResource(int)>","2130837524"
"<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>","android.graphics.Bitmap@629c962"
"<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>","android.graphics.Bitmap@a6c4adc"
"<android.app.Activity: void setContentView(android.view.View)>","android.widget.RelativeLayout{11317e5 V.E...... ......ID 0,0-0,0}"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","backgroundmusic.ogg"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","backgroundmusic_fast.ogg"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","title_bg.ogg"
"<android.view.View: void startAnimation(android.view.animation.Animation)>","android.view.animation.TranslateAnimation@6e24d61"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","sharePic.jpg"
"<android.content.Intent: android.content.Intent putExtra(java.lang.String,android.os.Parcelable)>","android.intent.extra.STREAM","file:///storage/emulated/0/droidhen/promptImgs/com.droidhen.irunned.jpg"
"<android.content.Intent: android.content.Intent putExtra(java.lang.String,java.lang.String)>","android.intent.extra.TEXT","Playing #iRunner# on my AOSP on IA Emulator, https://play.google.com/store/apps/details?id=com.droidhen.irunned"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { act=android.intent.action.SEND typ=image/jpeg (has extras) }"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { cmp=com.droidhen.irunned/.SelectActivity }"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.view.View: void setBackgroundResource(int)>","2130837598"
"<android.view.View: void setBackgroundResource(int)>","2130837510"
"<android.widget.TextView: void setPadding(int,int,int,int)>","0","0","0","0"
"<android.widget.TextView: void setTextColor(int)>","-857"
"<android.widget.TextView: void setTextSize(float)>","26.90909"
"<android.widget.TextView: void setTypeface(android.graphics.Typeface)>","android.graphics.Typeface@e0c7b451"
"<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>","android.graphics.Bitmap@656339c"
"<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>","android.graphics.Bitmap@8fb197a"
"<android.app.Activity: void setContentView(android.view.View)>","android.widget.RelativeLayout{309352b V.E...... ......ID 0,0-0,0}"
"<android.widget.TextView: void setText(java.lang.CharSequence,android.widget.TextView$BufferType)>","1-1","null"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { cmp=com.droidhen.irunned/.GameActivity }"
"<android.view.View: void setBackgroundResource(int)>","2130837538"
"<android.view.View: void setVisibility(int)>","8"
"<android.view.View: void setVisibility(int)>","0"
"<android.view.View: void setVisibility(int)>","8"
"<android.view.View: void setBackgroundResource(int)>","2131165191"
"<android.widget.TextView: void setPadding(int,int,int,int)>","0","0","0","0"
"<android.widget.TextView: void setTextColor(int)>","-12184488"
"<android.widget.TextView: void setTextSize(float)>","17.489178"
"<android.widget.TextView: void setTypeface(android.graphics.Typeface)>","android.graphics.Typeface@e0c7a0f1"
"<android.view.View: void setBackgroundResource(int)>","2131165191"
"<android.widget.TextView: void setPadding(int,int,int,int)>","0","0","0","0"
"<android.widget.TextView: void setTextColor(int)>","-12184488"
"<android.widget.TextView: void setTextSize(float)>","50.90909"
"<android.widget.TextView: void setTypeface(android.graphics.Typeface)>","android.graphics.Typeface@e0c7a0f1"
"<android.view.View: void setBackgroundResource(int)>","2131165191"
"<android.widget.TextView: void setPadding(int,int,int,int)>","0","0","0","0"
"<android.widget.TextView: void setTextColor(int)>","-12184488"
"<android.widget.TextView: void setTextSize(float)>","23.376623"
"<android.widget.TextView: void setTypeface(android.graphics.Typeface)>","android.graphics.Typeface@e0c7a0f1"
"<android.view.View: void setBackgroundResource(int)>","2131165191"
"<android.widget.TextView: void setPadding(int,int,int,int)>","0","0","0","0"
"<android.widget.TextView: void setTextColor(int)>","-12184488"
"<android.widget.TextView: void setTextSize(float)>","23.376623"
"<android.widget.TextView: void setTypeface(android.graphics.Typeface)>","android.graphics.Typeface@e0c7a0f1"
"<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>","android.graphics.Bitmap@d95f6d0"
"<android.view.View: void setBackgroundResource(int)>","2131165191"
"<android.widget.TextView: void setPadding(int,int,int,int)>","0","0","0","0"
"<android.widget.TextView: void setTextColor(int)>","-12184488"
"<android.widget.TextView: void setTextSize(float)>","23.376623"
"<android.widget.TextView: void setTypeface(android.graphics.Typeface)>","android.graphics.Typeface@e0c7a0f1"
