"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gfx/WINTER/tex1texturepacker.png"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@236be23","null","android.graphics.BitmapFactory$Options@14fcf20"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gfx/WINTER/tex0texturepacker.png"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@32d197f","null","android.graphics.BitmapFactory$Options@f32bd4c"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gfx/WINTER/tiled_glosnik.png"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@30ff195","null","android.graphics.BitmapFactory$Options@7a372aa"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gfx/WINTER/tiled_santa_8x7.png"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@703ce9b","null","android.graphics.BitmapFactory$Options@c746238"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gfx/system/polaroid.png"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@2cb1211","null","android.graphics.BitmapFactory$Options@a1e0f76"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gfx/WINTER/menu_kopia.png"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@2c6b977","null","android.graphics.BitmapFactory$Options@42969e4"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","gfx/system/reklama.png"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@e3dbe4d","null","android.graphics.BitmapFactory$Options@cd3ad02"
"<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>","android.widget.FrameLayout{9398fde V.E...... ......I. 0,0-0,0}","android.widget.FrameLayout$LayoutParams@b0c15bf"
"<android.app.Dialog: void setTitle(java.lang.CharSequence)>","Please rate  Run!Santa!Run!"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","If you enjoy using  Run!Santa!Run!, please take a moment to rate it. Thanks!"
"<android.widget.TextView: void setPadding(int,int,int,int)>","4","0","4","10"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","Rate"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","Remind me later"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","No, thanks"
"<android.app.Dialog: void setContentView(android.view.View)>","android.widget.LinearLayout{c323c8d V.E...... ......I. 0,0-0,0}"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
"<android.view.Window: void setFlags(int,int)>","128","128"
