"<java.io.OutputStream: void write(byte[])>","[B@9e18dd1"
"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.view.View: void setFocusable(boolean)>","1"
"<android.app.Activity: void setContentView(android.view.View)>","com.zhuoqiu.goodgoer.Vviews{ee54036 VFE...... ......I. 0,0-0,0}"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968588"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968592"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
