"<android.app.Activity: void setContentView(int)>","2130903041"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/BtnClick5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/LevelCompleted2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/firework.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-0.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemDrop2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/laserCharge3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/mainTheme.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/missionFail.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/ready.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/scoreTick1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/shaking2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/spark.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/stDialog1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme4.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme8.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/theme9.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/ufoBomb8.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/ufoHit1.mp3"
"<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>","com.balloonisland.hbtatxlz.OpeningActivity@88e24f","class com.balloonisland.hbtatxlz.StarGems"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { cmp=com.balloonisland.hbtatxlz/.StarGems }"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","apk path","/data/app/com.balloonisland.hbtatxlz-dzSsMofnQsOUGUM289_nBQ==/base.apk"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<android.app.Activity: void setContentView(int)>","2130903041"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/BtnClick5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/LevelCompleted2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/firework.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-0.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-1.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear2-3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemClear5.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/gemDrop2.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/laserCharge3.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/mainTheme.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/missionFail.mp3"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","CopyAsset","No need to copy file - /data/data/com.balloonisland.hbtatxlz/ready.mp3"
"<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>","com.balloonisland.hbtatxlz.OpeningActivity@88e24f","class com.balloonisland.hbtatxlz.StarGems"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { cmp=com.balloonisland.hbtatxlz/.StarGems }"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","apk path","/data/app/com.balloonisland.hbtatxlz-dzSsMofnQsOUGUM289_nBQ==/base.apk"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.app.Activity: void setContentView(android.view.View)>","com.donutgames.dgkit.DGLayout{e5fc98 V.E...... ......I. 0,0-0,0}"
"<android.content.ContextWrapper: boolean bindService(android.content.Intent,android.content.ServiceConnection,int)>","Intent { act=com.android.vending.billing.InAppBillingService.BIND }","com.donutgames.dgkit.DGKitActivity@98a4a44","1"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","23","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_CENTER, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=11028910, downTime=11028910, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","20","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_DOWN, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=11029229, downTime=11029229, deviceId=-1, source=0x101 }"
"<android.view.View: void setKeepScreenOn(boolean)>","false"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","22","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_RIGHT, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=11033810, downTime=11033810, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","19","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_UP, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=11034969, downTime=11034969, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","19","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_UP, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=11034969, downTime=11034969, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","19","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_UP, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=11034969, downTime=11034969, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","23","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_CENTER, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=11034970, downTime=11034970, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","152","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_NUMPAD_8, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=11035880, downTime=11035880, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","19","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_UP, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=11035880, downTime=11035880, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","206","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_3D_MODE, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=11036882, downTime=11036882, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","245","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_TV_INPUT_HDMI_3, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=11037885, downTime=11037885, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","185","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_PROG_YELLOW, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=11038901, downTime=11038901, deviceId=-1, source=0x101 }"
"<android.view.View: void setKeepScreenOn(boolean)>","false"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","20","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_DOWN, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=11039285, downTime=11039285, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","256","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_TV_CONTENTS_MENU, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=11039903, downTime=11039903, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","21","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_LEFT, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=11040303, downTime=11040303, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","21","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_LEFT, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=11040930, downTime=11040930, deviceId=-1, source=0x101 }"
