"<android.util.Log: int w(java.lang.String,java.lang.String)>","apk path","/data/app/com.fox.qinliugan.msh-KKZgsAYrgs51a3chmZfQgg==/base.apk"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<java.io.OutputStream: void write(byte[])>","[B@82cfc15"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
